cpd_HYL,'IVH_1d_110', 'IVH_1d_130', 'IVH_1d_150', 'IVH_1d_20', 'IVH_1d_50', 'IVH_1d_80', 'AVG'
IVH_1d-[I_RSP]up--(Calm2_Mylk.csv),0.932618496,0.903221757,0.901027287,0.869957152,0.897039988,0.896139318,0.900000666
IVH_1d-[I_RSP]up--(Calm2_Scn10a.csv),0.952057533,0.940640191,0.941846209,0.945353492,0.958300546,0.942463453,0.946776904
IVH_1d-[I_RSP]up--(Calm2_Scn4a.csv),1,1,1,1,1,1,1
IVH_1d-[I_RSP]up--(Calm2_Trpc5.csv),0.938129305,0.972111402,0.994285435,0.940657172,1.030200655,0.948074419,0.970576398
IVH_1d-[I_RSP]up--(Hspa8_Aqp2.csv),1.038143249,1.038641179,1.024477645,1.035410389,1.013678386,1.014097594,1.027408074
I_V-VIa-VIb,'IVH_1d_110', 'IVH_1d_130', 'IVH_1d_150', 'IVH_1d_20', 'IVH_1d_50', 'IVH_1d_80', 'AVG'
IVH_1d-[I_V-VIa-VIb]up--(Calm2_Adcy8.csv),1.070267624,1.043641862,1.086221197,1.070003612,1.068706558,1.089041963,1.071313803
IVH_1d-[I_V-VIa-VIb]up--(Calm2_Cacna1c.csv),1.071167843,1.039886706,0.982106004,1.070377172,1.034193594,1.075310903,1.045507037
IVH_1d-[I_V-VIa-VIb]up--(Calm2_Grm7.csv),1.061097395,0.979100711,1.037013963,1.048002665,1.056209776,1.080766144,1.043698442
IVH_1d-[I_V-VIa-VIb]up--(Calm2_Kcnq3.csv),1.123097578,1.094332737,1.122151305,1.169503598,1.161151996,1.196488846,1.144454343
IVH_1d-[I_V-VIa-VIb]up--(Calm2_Mylk.csv),1.045234908,1.005298478,0.95205461,0.958660042,0.990982354,0.970428839,0.987109872
IVH_1d-[I_V-VIa-VIb]up--(Calm2_Scn10a.csv),1.08439803,0.981304775,1.023678037,0.972365168,1.001250787,0.948773521,1.00196172
IVH_1d-[I_V-VIa-VIb]up--(Calm2_Scn4a.csv),1,1,1,1,1,1,1
IVH_1d-[I_V-VIa-VIb]up--(Calm2_Trpc5.csv),0.972257951,0.968931598,0.96851023,0.954462769,0.986665571,0.960774963,0.968600514
IVH_1d-[I_V-VIa-VIb]up--(Ccl27a_Ackr2.csv),1.091053784,1.072814844,1.039732334,1.076153443,1.010556477,1.040237246,1.055091355
IVH_1d-[I_V-VIa-VIb]up--(Ccl27a_Ccr10.csv),0.977267756,0.990258891,0.995785338,0.994075253,0.968310734,1.002698166,0.988066023
IVH_1d-[I_V-VIa-VIb]up--(Gnas_Gcgr.csv),1,1,1,1.001254481,1,1,1.00020908
IVH_1d-[I_V-VIa-VIb]up--(Gnas_Htr6.csv),1.038530567,1.009125867,0.972396508,1.033853763,1.018370328,0.990789137,1.010511028
IVH_1d-[I_V-VIa-VIb]up--(Gnas_Lhcgr.csv),1.025082589,0.988283335,1.031430344,1,1.007995159,0.99437835,1.007861629
IVH_1d-[I_V-VIa-VIb]up--(Gnas_Ptgdr.csv),1.033033563,0.988274337,1.019199395,0.973985847,1.039166516,0.995074528,1.008122364
IVH_1d-[I_V-VIa-VIb]up--(Gnas_Pth1r.csv),0.950572913,0.99108565,0.957415421,0.938301131,0.942873615,0.914369394,0.949103021
