CA1_DG,'IVH_7d_110', 'IVH_7d_50', 'IVH_7d_80', 'AVG'
IVH_7d-[TH_CA1]up--(Clu_Lrp2.csv),1.02563841,1.002221724,1.051866511,1.026575548
IVH_7d-[TH_CA1]up--(Clu_Lrp8.csv),0.8231006,0.977996862,0.817540046,0.872879169
IVH_7d-[TH_CA1]up--(Clu_Vldlr.csv),0.836720509,0.956223135,0.819574481,0.870839375
IVH_7d-[TH_CA1]up--(Cst3_Lrp2.csv),0.949630108,0.956431587,0.959428973,0.955163556
IVH_7d-[TH_CA1]up--(Dkk3_Kremen1.csv),0.839559997,0.945115821,0.868996635,0.884557484
IVH_7d-[TH_CA1]up--(Icam5_Itgal.csv),1.084084158,1.059685294,1.118995751,1.087588401
IVH_7d-[TH_CA1]up--(Icam5_Itgb2.csv),0.962370725,0.999594005,0.982859901,0.98160821
IVH_7d-[TH_CA1]up--(Nptx1_Nptxr.csv),0.664211795,0.745137036,0.660671855,0.690006895
TH_CA3,'IVH_7d_110', 'IVH_7d_50', 'IVH_7d_80', 'AVG'
IVH_7d-[TH_CA3]up--(Dkk3_Kremen1.csv),0.998558555,0.934552163,0.992085947,0.975065555
IVH_7d-[TH_CA3]up--(Icam5_Itgal.csv),1.008717238,1.069697811,1.010664058,1.029693036
IVH_7d-[TH_CA3]up--(Icam5_Itgb2.csv),1.014639613,0.970902951,1.026235481,1.003926015
IVH_7d-[TH_CA3]up--(Nptx1_Nptxr.csv),0.971632335,0.67687562,0.969540238,0.872682731
VL_COA,'IVH_7d_110', 'IVH_7d_50', 'IVH_7d_80', 'AVG'
IVH_7d-[VL_COA]up--(Calm1_Adcy8.csv),1.11943845,1.010713249,1.030732649,1.053628116
IVH_7d-[VL_COA]up--(Calm1_Cacna1c.csv),1.197060173,1.107796526,1.009376299,1.104744333
IVH_7d-[VL_COA]up--(Calm1_Cnga2.csv),0.999972154,1.015347909,1.029377231,1.014899098
IVH_7d-[VL_COA]up--(Calm1_Fas.csv),1.037205815,1.036323359,1.000300216,1.024609797
IVH_7d-[VL_COA]up--(Calm1_Grm4.csv),0.989344318,0.977929271,0.878516377,0.948596655
IVH_7d-[VL_COA]up--(Calm1_Kcnn4.csv),0.990184893,1.016888706,1.01342252,1.00683204
IVH_7d-[VL_COA]up--(Calm1_Kcnq1.csv),1.017102528,1.021764935,1.04509026,1.027985908
IVH_7d-[VL_COA]up--(Calm1_Kcnq3.csv),1.048051287,1.035451223,0.870245246,0.984582586
IVH_7d-[VL_COA]up--(Calm1_Mip.csv),1,0.999316068,1,0.999772023
IVH_7d-[VL_COA]up--(Calm1_Mylk.csv),1.230993824,1.197722748,1.058212773,1.162309782
IVH_7d-[VL_COA]up--(Calm1_Oprm1.csv),1,1.012281041,1,1.00409368
IVH_7d-[VL_COA]up--(Calm1_Scn10a.csv),1.077012208,1.087849119,1.068890912,1.077917413
IVH_7d-[VL_COA]up--(Calm1_Scn4a.csv),1,1,1,1
IVH_7d-[VL_COA]up--(Calm1_Sell.csv),1,1.032358251,1.028138261,1.020165504
IVH_7d-[VL_COA]up--(Calm1_Trpc5.csv),1.022746326,1.027571429,1.027725934,1.026014563
IVH_7d-[VL_COA]up--(Calm2_Adcy8.csv),1.120641553,1.020359168,1.043129509,1.061376743
IVH_7d-[VL_COA]up--(Calm2_Cacna1c.csv),1.193945606,1.115437781,1.043242048,1.117541812
IVH_7d-[VL_COA]up--(Calm2_Grm7.csv),1.111723462,1.109114177,0.921996477,1.047611372
IVH_7d-[VL_COA]up--(Calm2_Kcnq3.csv),1.029389968,1.029311892,0.867936984,0.975546281
IVH_7d-[VL_COA]up--(Calm2_Mylk.csv),1.20791665,1.220481275,1.054060515,1.16081948
IVH_7d-[VL_COA]up--(Calm2_Scn10a.csv),1.053382354,1.065811555,1.069024555,1.062739488
IVH_7d-[VL_COA]up--(Calm2_Scn4a.csv),1,1,1,1
IVH_7d-[VL_COA]up--(Calm2_Trpc5.csv),1.01410017,1.004446737,1.048107424,1.02221811
IVH_7d-[VL_COA]up--(Icam5_Itgal.csv),0.973103248,1.005941592,0.988026167,0.989023669
IVH_7d-[VL_COA]up--(Icam5_Itgb2.csv),1.091520103,1.072486233,1.025918694,1.063308343
IVH_7d-[VL_COA]up--(Nptx1_Nptxr.csv),1.39364635,1.281149888,1.227267459,1.300687899
VL_fxs,'IVH_7d_110', 'IVH_7d_50', 'IVH_7d_80', 'AVG'
IVH_7d-[VL_fxs]up--(Calm2_Adcy8.csv),0.73651396,0.808681042,0.774953618,0.773382874
IVH_7d-[VL_fxs]up--(Calm2_Cacna1c.csv),0.712479308,0.779216939,0.740509687,0.744068645
IVH_7d-[VL_fxs]up--(Calm2_Grm7.csv),0.750937734,0.846389646,0.794633771,0.797320384
IVH_7d-[VL_fxs]up--(Calm2_Kcnq3.csv),0.639289184,0.778017562,0.681017309,0.699441352
IVH_7d-[VL_fxs]up--(Calm2_Mylk.csv),0.822651005,0.862812582,0.888093153,0.857852246
IVH_7d-[VL_fxs]up--(Calm2_Scn10a.csv),1.061854201,0.996222794,1.054497081,1.037524692
IVH_7d-[VL_fxs]up--(Calm2_Scn4a.csv),1,1,1,1
IVH_7d-[VL_fxs]up--(Calm2_Trpc5.csv),1.066253012,0.986696639,1.059470753,1.037473468
VL_I,'IVH_7d_110', 'IVH_7d_50', 'IVH_7d_80', 'AVG'
IVH_7d-[VL_I]up--(Cck_Cckar.csv),0.976753049,1.03852231,1.043460569,1.019578643
IVH_7d-[VL_I]up--(Cck_Cckbr.csv),0.861838023,0.833162159,0.818117287,0.837705823
IVH_7d-[VL_I]up--(Dkk3_Kremen1.csv),0.975176423,0.943406293,0.907818373,0.942133696
